,日期,单品名称,批发价格(元/千克)_否,销售单价(元/千克)_否,销量(千克)_否,损耗率(%)_否
26527,2022-03-09,青茄子(1),8.44,14.0,0.638,5.01
26529,2022-03-10,七彩椒(2),9.14,23.6,0.509,9.43
26530,2022-03-10,上海青,4.88,8.0,1.722,14.43
26532,2022-03-10,云南油麦菜,6.78,9.0,3.873,12.81
26533,2022-03-10,云南生菜,7.619999999999999,12.0,10.276,15.25
26534,2022-03-10,净藕(1),4.8,7.0,16.626,5.54
26535,2022-03-10,奶白菜,1.6,3.0,5.034,15.68
26536,2022-03-10,小皱皮(份),3.71,5.900000000000001,3.0,9.43
26537,2022-03-10,小米椒(份),9.36,12.800000000000002,6.0,9.43
26538,2022-03-10,小青菜(1),1.84,3.2,8.419,10.33
26543,2022-03-10,紫茄子(2),7.68,12.0,7.109,6.07
26548,2022-03-10,芜湖青椒(1),10.41,14.0,11.507,5.7
26549,2022-03-10,苋菜,9.11,14.0,0.967,18.52
26553,2022-03-10,菠菜,3.14,5.0,3.004,18.51
26554,2022-03-10,菠菜(份),0.98,1.9,6.0,9.43
26556,2022-03-10,螺丝椒,15.69,23.6,6.179,10.18
26557,2022-03-10,螺丝椒(份),5.27,7.900000000000001,3.0,9.43
26559,2022-03-10,西兰花,4.97,10.0,2.189,9.26
26560,2022-03-10,西峡花菇(1),13.2,21.6,4.375,10.8
26562,2022-03-10,长线茄,15.72,21.600000000000005,1.2029999999999998,6.900000000000001
26567,2022-03-10,青线椒(份),0.0,0.0,0.0,0.0
26568,2022-03-10,青茄子(1),8.4,14.0,1.877,5.01
26571,2022-03-11,上海青,4.88,8.0,3.129,14.43
26574,2022-03-11,云南油麦菜,5.85,9.0,4.677,12.81
26575,2022-03-11,云南生菜,7.619999999999999,12.0,15.304,15.25
26576,2022-03-11,净藕(1),4.8,7.0,29.63,5.54
26577,2022-03-11,奶白菜,1.6000000000000003,3.0,4.2250000000000005,15.68
26578,2022-03-11,小皱皮(份),3.84,5.9,4.0,9.43
26579,2022-03-11,小米椒(份),8.82,12.800000000000002,3.0,9.43
26580,2022-03-11,小青菜(1),1.84,4.0,6.719,10.33
26587,2022-03-11,紫茄子(2),7.75,12.0,10.813,6.069999999999999
26592,2022-03-11,红薯尖,11.6,16.0,3.169,8.42
26593,2022-03-11,芜湖青椒(1),11.29,14.0,18.047,5.7
26594,2022-03-11,苋菜,9.61,14.0,0.459,18.52
26598,2022-03-11,菠菜,3.25,5.0,1.392,18.51
26599,2022-03-11,菠菜(份),0.98,1.9,9.0,9.43
26601,2022-03-11,螺丝椒,15.68,23.6,2.162,10.18
26602,2022-03-11,螺丝椒(份),6.02,7.9,2.0,9.43
26604,2022-03-11,西兰花,4.98,10.0,3.054,9.26
26605,2022-03-11,西峡花菇(1),13.2,21.6,6.525,10.8
26607,2022-03-11,长线茄,15.81,21.6,3.223,6.9
26611,2022-03-11,青线椒(份),3.94,7.5,1.0,9.43
26612,2022-03-11,青茄子(1),8.46,14.0,1.226,5.01
26615,2022-03-12,七彩椒(2),8.39,23.6,0.559,9.43
26616,2022-03-12,上海青,4.87,8.0,10.552,14.43
26618,2022-03-12,云南油麦菜,5.66,9.0,15.102,12.81
26619,2022-03-12,云南生菜,7.55,12.0,23.767,15.25
26620,2022-03-12,净藕(1),4.76,7.0,37.329,5.54
26621,2022-03-12,奶白菜,1.6,2.6,6.095,15.68
26622,2022-03-12,小皱皮(份),3.69,5.9,8.0,9.43
26623,2022-03-12,小米椒(份),9.05,10.8,18.0,9.43
26624,2022-03-12,小青菜(1),1.7599999999999998,3.0,9.292,10.33
26629,2022-03-12,紫茄子(2),7.88,12.0,19.433,6.07
26634,2022-03-12,红薯尖,11.6,16.0,4.947,8.42
26635,2022-03-12,芜湖青椒(1),10.71,14.0,33.423,5.700000000000001
26636,2022-03-12,苋菜,9.62,14.0,5.128,18.52
26639,2022-03-12,菠菜,2.8,4.0,6.289,18.51
26640,2022-03-12,菠菜(份),0.71,1.9,12.0,9.43
26642,2022-03-12,螺丝椒,15.69,25.8,5.734,10.18
26643,2022-03-12,螺丝椒(份),0.0,0.0,0.0,0.0
26645,2022-03-12,西兰花,6.46,10.0,2.591,9.26
26646,2022-03-12,西峡花菇(1),13.2,21.6,9.441,10.8
26648,2022-03-12,长线茄,15.38,21.6,4.38,6.9
26653,2022-03-12,青线椒(份),4.06,7.5,2.0,9.43
26654,2022-03-12,青茄子(1),8.48,14.0,0.982,5.01
26657,2022-03-13,上海青,4.68,8.0,2.186,14.43
26658,2022-03-13,云南油麦菜,5.66,8.0,3.304,12.81
26659,2022-03-13,云南油麦菜(份),2.6,4.5,10.0,9.43
26660,2022-03-13,云南生菜,7.58,12.0,14.049,15.25
26661,2022-03-13,云南生菜(份),3.43,4.9,8.0,9.43
26662,2022-03-13,净藕(1),4.8,7.0,28.204,5.54
26663,2022-03-13,外地茼蒿,5.16,12.0,0.51,26.16
26664,2022-03-13,奶白菜,1.6,3.0,8.112,15.68
26666,2022-03-13,小皱皮(份),3.6,5.9,10.0,9.43
26667,2022-03-13,小米椒(份),7.73,12.8,9.0,9.43
26668,2022-03-13,小青菜(1),1.63,3.0,4.122,10.33
26675,2022-03-13,紫茄子(2),7.1,12.0,16.607,6.07
26680,2022-03-13,红薯尖,11.6,18.0,0.964,8.42
26681,2022-03-13,芜湖青椒(1),9.43,14.0,29.043,5.7
26682,2022-03-13,苋菜,8.14,14.0,4.132,18.52
26685,2022-03-13,菠菜,2.43,4.0,8.639,18.51
26686,2022-03-13,菠菜(份),0.73,1.9,8.0,9.43
26688,2022-03-13,螺丝椒,18.4,25.8,6.154,10.18
26689,2022-03-13,螺丝椒(份),18.39,8.5,1.0,9.43
26690,2022-03-13,西兰花,7.0,10.0,3.223,9.26
26691,2022-03-13,西峡花菇(1),13.2,21.6,9.966,10.8
26694,2022-03-13,长线茄,13.81,19.8,1.5659999999999998,6.9
26699,2022-03-13,青线椒(份),4.49,6.9,2.0,9.43
26700,2022-03-13,青茄子(1),8.5,14.0,1.297,5.01
26704,2022-03-14,上海青,4.68,8.0,6.043,14.43
26708,2022-03-14,云南油麦菜,5.66,8.0,3.731,12.81
26709,2022-03-14,云南油麦菜(份),2.6,4.5,5.0,9.43
26710,2022-03-14,云南生菜,7.08,10.0,10.505,15.25
26711,2022-03-14,云南生菜(份),3.4300000000000006,4.9,10.0,9.43
26712,2022-03-14,净藕(1),4.8,7.0,15.345,5.54
26713,2022-03-14,奶白菜,1.6,2.6000000000000005,5.976,15.68
26714,2022-03-14,小皱皮(份),3.8,5.900000000000001,6.0,9.43
26715,2022-03-14,小米椒(份),8.73,12.8,14.0,9.429999999999998
26716,2022-03-14,小青菜(1),1.86,3.0,5.914000000000001,10.33
26724,2022-03-14,紫茄子(2),7.099999999999999,12.0,10.704,6.07
26730,2022-03-14,红薯尖,11.6,18.0,1.647,8.42
26731,2022-03-14,芜湖青椒(1),9.03,12.0,35.229,5.7
26732,2022-03-14,苋菜,7.95,12.0,3.779,18.52
26735,2022-03-14,菠菜,2.46,4.0,4.573,18.51
26736,2022-03-14,菠菜(份),0.73,1.9,4.0,9.43
26738,2022-03-14,螺丝椒,17.55,25.8,4.072,10.18
26739,2022-03-14,螺丝椒(份),12.2,8.5,2.0,9.43
26740,2022-03-14,西兰花,7.0,10.0,9.127,9.26
26741,2022-03-14,西峡花菇(1),13.2,21.6,2.621,10.8
26743,2022-03-14,长线茄,13.79,19.8,1.974,6.900000000000001
26748,2022-03-14,青线椒(份),4.14,7.9,2.0,9.43
26751,2022-03-15,上海青,4.68,8.0,6.382,14.43
26754,2022-03-15,云南油麦菜,5.66,8.0,2.989,12.81
26755,2022-03-15,云南油麦菜(份),2.61,4.5,5.0,9.43
26756,2022-03-15,云南生菜,7.080000000000001,10.0,9.047,15.25
26757,2022-03-15,云南生菜(份),3.19,4.9,10.0,9.43
26758,2022-03-15,净藕(1),4.8,7.0,14.498,5.54
26760,2022-03-15,外地茼蒿,5.16,12.0,1.572,26.16
26761,2022-03-15,奶白菜,1.82,3.2,6.963,15.68
26763,2022-03-15,小皱皮(份),3.91,5.9,4.0,9.43
26765,2022-03-15,小米椒(份),8.81,12.8,8.0,9.43
26766,2022-03-15,小青菜(1),1.83,3.0,4.5600000000000005,10.33
26774,2022-03-15,紫茄子(2),6.69,12.0,9.866,6.069999999999999
26781,2022-03-15,红薯尖,11.6,16.0,1.366,8.42
26782,2022-03-15,芜湖青椒(1),8.95,12.0,32.397,5.7
26783,2022-03-15,苋菜,7.340000000000001,12.0,3.068,18.52
26787,2022-03-15,菠菜,2.48,4.0,0.303,18.51
26788,2022-03-15,菠菜(份),0.8,1.9,5.0,9.43
26791,2022-03-15,螺丝椒,17.0,25.8,5.645,10.18
26792,2022-03-15,螺丝椒(份),6.02,8.5,1.0,9.43
26793,2022-03-15,西兰花,6.7700000000000005,10.0,7.721,9.26
26794,2022-03-15,西峡花菇(1),13.2,21.6,7.725,10.8
26797,2022-03-15,长线茄,13.42,19.8,0.809,6.9
26801,2022-03-15,青线椒(份),5.08,7.900000000000001,3.0,9.43
26802,2022-03-15,青茄子(1),8.58,14.0,2.141,5.01
26803,2022-03-15,高瓜(2),9.68,21.6,0.528,9.43
26807,2022-03-16,上海青,4.67,7.0,3.95,14.43
26811,2022-03-16,云南油麦菜,5.72,6.0,6.276,12.81
26812,2022-03-16,云南生菜,4.88,8.0,2.475,15.25
26813,2022-03-16,云南生菜(份),2.9600000000000004,4.9,22.0,9.43
26814,2022-03-16,净藕(1),4.8,7.0,16.886,5.54
26816,2022-03-16,外地茼蒿,5.17,12.0,0.995,26.16
26817,2022-03-16,奶白菜,2.0,3.2,7.281,15.68
26818,2022-03-16,姜蒜小米椒组合装(小份),2.29,3.5,1.0,9.43
26820,2022-03-16,小皱皮(份),3.87,5.9,5.0,9.43
26821,2022-03-16,小米椒(份),8.3,12.8,7.0,9.429999999999998
26822,2022-03-16,小青菜(1),1.83,3.0,5.102,10.33
26829,2022-03-16,竹叶菜,11.17,16.0,1.88,13.62
26832,2022-03-16,紫茄子(2),6.97,12.0,9.985,6.07
26839,2022-03-16,红薯尖,11.6,16.0,0.952,8.42
26840,2022-03-16,芜湖青椒(1),9.4,12.0,29.676,5.7
26841,2022-03-16,苋菜,6.7,6.0,7.032,18.52
26845,2022-03-16,菠菜,2.67,4.0,2.021,18.51
26846,2022-03-16,菠菜(份),0.8,1.9,8.0,9.43
26849,2022-03-16,螺丝椒,17.0,25.8,5.133,10.18
26850,2022-03-16,螺丝椒(份),0.0,0.0,0.0,0.0
26851,2022-03-16,西兰花,7.010000000000001,10.0,11.689,9.26
26852,2022-03-16,西峡花菇(1),13.2,21.6,4.853,10.8
26856,2022-03-16,长线茄,13.42,18.0,2.156,6.9
26861,2022-03-16,青线椒(份),0.0,0.0,0.0,0.0
26862,2022-03-16,青茄子(1),8.68,14.0,0.423,5.01
26866,2022-03-17,上海青,4.66,7.0,4.468999999999999,14.43
26870,2022-03-17,云南油麦菜,5.77,6.0,0.336,12.81
26871,2022-03-17,云南油麦菜(份),2.61,3.5,11.0,9.43
26872,2022-03-17,云南生菜,4.88,8.0,0.741,15.25
26873,2022-03-17,云南生菜(份),2.61,3.9,10.0,9.43
26874,2022-03-17,净藕(1),4.8,7.0,30.16,5.54
26875,2022-03-17,圆茄子(2),6.39,14.0,0.451,6.71
26876,2022-03-17,外地茼蒿,5.26,12.0,1.02,26.16
26877,2022-03-17,奶白菜,2.0,3.2000000000000006,3.862,15.68
26878,2022-03-17,姜蒜小米椒组合装(小份),2.29,3.5,5.0,9.43
26880,2022-03-17,小皱皮(份),3.85,5.9,8.0,9.43
26881,2022-03-17,小米椒(份),8.99,12.8,13.0,9.43
26882,2022-03-17,小青菜(1),1.84,3.0,6.319,10.33
26888,2022-03-17,竹叶菜,11.18,16.0,2.263,13.62
26891,2022-03-17,紫茄子(2),7.79,12.0,12.218,6.069999999999999
26896,2022-03-17,芜湖青椒(1),8.25,12.0,21.068,5.7
26897,2022-03-17,苋菜,4.02,7.0,8.29,18.52
26901,2022-03-17,菠菜,2.66,4.0,2.703,18.51
26902,2022-03-17,菠菜(份),0.8,1.9,5.0,9.43
26905,2022-03-17,螺丝椒,17.07,25.8,9.332,10.179999999999998
26906,2022-03-17,西兰花,7.19,10.0,12.813,9.26
26907,2022-03-17,西峡花菇(1),12.99,21.6,10.615,10.8
26909,2022-03-17,长线茄,12.52,18.0,2.578,6.9
26914,2022-03-17,青线椒(份),0.0,0.0,0.0,0.0
26915,2022-03-17,青茄子(1),8.71,14.0,0.587,5.01
26917,2022-03-17,高瓜(2),9.61,21.600000000000005,0.6910000000000001,9.43
26920,2022-03-18,上海青,4.66,6.0,0.956,14.43
26923,2022-03-18,云南油麦菜,5.7700000000000005,5.0,2.338,12.81
26924,2022-03-18,云南油麦菜(份),2.26,2.9,7.0,9.429999999999998
26925,2022-03-18,云南生菜,4.88,8.0,7.642,15.25
26926,2022-03-18,云南生菜(份),2.14,3.9,9.0,9.43
26927,2022-03-18,净藕(1),4.8,6.8,26.701,5.54
26928,2022-03-18,奶白菜,2.0,3.2,1.804,15.68
26929,2022-03-18,姜蒜小米椒组合装(小份),2.29,3.5,4.0,9.43
26931,2022-03-18,小皱皮(份),3.84,5.9,4.0,9.43
26932,2022-03-18,小米椒(份),8.97,12.8,17.0,9.43
26933,2022-03-18,小青菜(1),1.85,3.0,11.114,10.33
26939,2022-03-18,白玉菇(袋),3.04,4.9,1.0,6.57
26941,2022-03-18,竹叶菜,10.82,16.0,2.118,13.62
26944,2022-03-18,紫茄子(2),7.35,12.0,10.511,6.070000000000001
26951,2022-03-18,芜湖青椒(1),8.7,12.0,42.99,5.7
26952,2022-03-18,苋菜,4.23,8.0,4.911,18.52
26956,2022-03-18,菠菜,2.43,4.0,6.214,18.51
26957,2022-03-18,菠菜(份),0.79,1.9,7.0,9.429999999999998
26961,2022-03-18,螺丝椒,17.08,25.8,4.655,10.18
26963,2022-03-18,西兰花,7.02,12.0,14.473,9.26
26964,2022-03-18,西峡花菇(1),12.0,21.6,1.76,10.8
26968,2022-03-18,长线茄,11.46,18.0,3.908,6.900000000000001
26971,2022-03-18,青茄子(1),9.01,14.0,1.927,5.01
26972,2022-03-18,高瓜(2),9.47,21.6,0.292,9.43
26976,2022-03-19,七彩椒(2),12.79,23.6,0.555,9.43
26977,2022-03-19,上海青,4.55,6.0,10.285,14.43
26980,2022-03-19,云南油麦菜,5.77,5.4,3.676,12.81
26981,2022-03-19,云南生菜,4.76,8.0,18.101,15.25
26982,2022-03-19,云南生菜(份),2.15,3.9,24.0,9.43
26983,2022-03-19,净藕(1),4.8,6.8,45.815,5.54
26985,2022-03-19,圆茄子(2),8.41,14.0,0.587,6.71
26986,2022-03-19,奶白菜,2.0,3.2,8.832,15.679999999999998
26987,2022-03-19,姜蒜小米椒组合装(小份),2.29,3.5,1.0,9.43
26988,2022-03-19,小皱皮(份),5.18,5.9,8.0,9.43
26989,2022-03-19,小米椒(份),8.97,12.8,11.0,9.43
26990,2022-03-19,小青菜(1),1.89,3.0,9.324,10.33
26995,2022-03-19,白玉菇(袋),3.01,4.9,4.0,6.57
26997,2022-03-19,竹叶菜,10.24,16.0,0.37,13.62
26999,2022-03-19,紫茄子(2),7.36,12.0,14.926,6.07
27005,2022-03-19,红薯尖,9.75,14.0,3.611,8.42
27006,2022-03-19,芜湖青椒(1),9.05,14.0,43.079,5.7
27007,2022-03-19,苋菜,4.23,8.0,16.785,18.52
27011,2022-03-19,菠菜,2.71,5.0,4.196,18.51
27012,2022-03-19,菠菜(份),0.81,1.9,11.0,9.43
27016,2022-03-19,螺丝椒,18.19,27.6,11.298,10.18
27017,2022-03-19,螺丝椒(份),6.02,9.9,3.0,9.43
27019,2022-03-19,西兰花,7.02,12.0,24.298,9.26
27020,2022-03-19,西峡花菇(1),12.0,19.8,9.091,10.8
27023,2022-03-19,长线茄,11.35,16.0,9.187,6.9
27026,2022-03-19,青线椒(份),4.54,7.900000000000001,3.0,9.43
27027,2022-03-19,青茄子(1),9.13,14.0,1.311,5.01
27031,2022-03-20,七彩椒(2),11.77,23.6,0.496,9.43
27032,2022-03-20,上海青,4.26,6.0,3.642,14.43
27036,2022-03-20,云南油麦菜,5.5,5.4,15.149,12.81
27037,2022-03-20,云南油麦菜(份),1.8,2.9,10.0,9.43
27038,2022-03-20,云南生菜,4.57,7.0,21.267,15.25
27039,2022-03-20,云南生菜(份),1.91,3.9,6.0,9.43
27040,2022-03-20,净藕(1),4.8,7.2,40.66,5.54
27042,2022-03-20,奶白菜,2.0,3.2,8.229,15.68
27043,2022-03-20,小皱皮(份),3.84,5.9,2.0,9.43
27044,2022-03-20,小米椒(份),8.71,12.8,16.0,9.43
27045,2022-03-20,小青菜(1),2.04,4.0,9.396,10.33
27049,2022-03-20,白玉菇(袋),3.0400000000000005,4.9,3.0,6.57
27050,2022-03-20,竹叶菜,9.99,14.0,9.45,13.62
27051,2022-03-20,紫茄子(2),7.54,12.0,14.585,6.07
27056,2022-03-20,红薯尖,9.55,14.0,1.4329999999999998,8.42
27057,2022-03-20,芜湖青椒(1),9.6,14.0,53.431,5.7
27058,2022-03-20,苋菜,5.4,9.0,14.6,18.52
27061,2022-03-20,菜心,5.0,7.0,0.302,13.7
27063,2022-03-20,菠菜,3.07,5.0,3.952,18.51
27064,2022-03-20,菠菜(份),0.92,1.9,8.0,9.43
27067,2022-03-20,螺丝椒,18.8,27.600000000000005,13.171,10.18
27068,2022-03-20,螺丝椒(份),6.02,9.9,2.0,9.43
27070,2022-03-20,西兰花,7.22,12.0,16.749,9.26
27071,2022-03-20,西峡花菇(1),12.0,19.8,18.247,10.8
27074,2022-03-20,长线茄,10.91,18.0,5.49,6.9
27077,2022-03-20,青线椒(份),4.54,7.9,1.0,9.43
27078,2022-03-20,青茄子(1),9.28,14.0,1.368,5.01
27080,2022-03-20,高瓜(2),9.25,16.0,2.932,9.43
27083,2022-03-21,上海青,3.82,6.0,12.82,14.429999999999998
27086,2022-03-21,云南油麦菜,4.09,6.0,7.133,12.81
27087,2022-03-21,云南油麦菜(份),1.7700000000000002,2.9,19.0,9.43
27088,2022-03-21,云南生菜,4.4,7.0,15.707,15.25
27089,2022-03-21,云南生菜(份),1.98,3.9,31.0,9.43
27090,2022-03-21,净藕(1),4.8,7.2,25.391,5.54
27092,2022-03-21,奶白菜,2.0,3.2,8.482,15.68
27093,2022-03-21,姜蒜小米椒组合装(小份),2.29,3.5,3.0,9.43
27095,2022-03-21,小皱皮(份),3.9,5.900000000000001,6.0,9.43
27096,2022-03-21,小米椒(份),8.97,12.800000000000002,12.0,9.43
27097,2022-03-21,小青菜(1),2.02,4.0,7.526,10.33
27102,2022-03-21,竹叶菜,9.54,14.0,1.626,13.62
27105,2022-03-21,紫茄子(2),7.47,12.0,20.808,6.07
27109,2022-03-21,红薯尖,11.38,14.0,4.306,8.42
27110,2022-03-21,芜湖青椒(1),9.63,14.0,21.56,5.7
27111,2022-03-21,苋菜,5.42,9.0,8.261,18.52
27113,2022-03-21,菠菜,3.16,6.0,8.075,18.51
27114,2022-03-21,菠菜(份),0.94,2.5,8.0,9.43
27117,2022-03-21,螺丝椒,19.91,27.6,11.881,10.18
27118,2022-03-21,螺丝椒(份),4.2,9.9,1.0,9.43
27120,2022-03-21,西兰花,7.3,12.0,13.613,9.26
27121,2022-03-21,西峡花菇(1),12.0,19.8,10.734,10.8
27125,2022-03-21,长线茄,10.820000000000002,19.8,3.212,6.9
27129,2022-03-21,青茄子(1),9.32,14.0,1.318,5.01
27135,2022-03-22,上海青,3.0,6.0,17.555,14.43
27138,2022-03-22,云南油麦菜,3.26,6.0,4.497,12.81
27139,2022-03-22,云南油麦菜(份),1.7100000000000002,2.9,10.0,9.43
27140,2022-03-22,云南生菜,4.39,7.0,11.723,15.25
27141,2022-03-22,云南生菜(份),1.89,3.9,11.0,9.43
27142,2022-03-22,净藕(1),4.8,7.2,27.306,5.54
27144,2022-03-22,奶白菜,2.0,3.2,7.279999999999999,15.68
27145,2022-03-22,姜蒜小米椒组合装(小份),2.29,3.5,4.0,9.43
27147,2022-03-22,小皱皮(份),3.89,5.9,8.0,9.43
27148,2022-03-22,小米椒(份),9.72,13.9,15.0,9.43
27149,2022-03-22,小青菜(1),2.07,4.0,6.844,10.33
27154,2022-03-22,白玉菇(袋),2.89,4.9,4.0,6.57
27155,2022-03-22,竹叶菜,9.22,14.0,4.592,13.62
27157,2022-03-22,紫茄子(2),7.44,12.0,16.632,6.069999999999999
27161,2022-03-22,红薯尖,9.95,14.0,4.752,8.42
27162,2022-03-22,芜湖青椒(1),9.64,14.0,28.137,5.7
27163,2022-03-22,苋菜,6.2,10.0,7.923,18.52
27165,2022-03-22,菠菜,3.22,6.0,6.059,18.51
27166,2022-03-22,菠菜(份),0.97,2.5,8.0,9.43
27169,2022-03-22,螺丝椒,20.02,29.6,10.459,10.18
27171,2022-03-22,西兰花,7.3,12.0,16.239,9.26
27172,2022-03-22,西峡花菇(1),12.0,19.8,9.89,10.8
27176,2022-03-22,长线茄,10.64,19.8,2.293,6.900000000000001
27179,2022-03-22,青茄子(1),9.34,14.0,3.022,5.01
27184,2022-03-23,上海青,3.13,6.0,10.805,14.43
27187,2022-03-23,云南油麦菜,3.25,6.0,10.524,12.81
27188,2022-03-23,云南生菜,4.37,7.0,8.58,15.25
27189,2022-03-23,云南生菜(份),1.98,3.9,4.0,9.43
27190,2022-03-23,净藕(1),5.0,7.200000000000001,13.519,5.54
27192,2022-03-23,外地茼蒿,8.1,14.0,1.261,26.16
27193,2022-03-23,奶白菜,2.2,3.2,8.451,15.68
27194,2022-03-23,姜蒜小米椒组合装(小份),2.3,3.5,2.0,9.43
27195,2022-03-23,小皱皮(份),3.85,5.900000000000001,3.0,9.43
27196,2022-03-23,小米椒(份),9.12,13.9,12.0,9.43
27201,2022-03-23,白玉菇(袋),2.93,4.9,1.0,6.57
27202,2022-03-23,紫茄子(2),7.540000000000001,12.0,15.245,6.07
27208,2022-03-23,红薯尖,8.18,14.0,1.813,8.42
27209,2022-03-23,芜湖青椒(1),9.75,14.0,25.636,5.7
27210,2022-03-23,苋菜,6.46,10.0,7.589,18.52
27212,2022-03-23,菠菜,3.41,6.0,0.889,18.51
27213,2022-03-23,菠菜(份),1.04,2.5,5.0,9.43
27216,2022-03-23,螺丝椒,20.02,29.6,11.958,10.18
27218,2022-03-23,西兰花,7.27,12.0,7.625,9.26
27219,2022-03-23,西峡花菇(1),12.0,19.8,10.484,10.8
27222,2022-03-23,长线茄,10.65,19.8,2.324,6.9
27227,2022-03-23,高瓜(2),8.53,16.0,1.341,9.429999999999998
27230,2022-03-24,上海青,3.27,6.0,5.554,14.43
27233,2022-03-24,云南油麦菜(份),1.44,2.9,10.0,9.43
27234,2022-03-24,云南生菜,4.37,7.0,5.186,15.25
27235,2022-03-24,云南生菜(份),1.86,3.9,11.0,9.43
27236,2022-03-24,净藕(1),4.92,8.0,16.899,5.54
27238,2022-03-24,圆茄子(2),8.45,14.0,0.924,6.71
27239,2022-03-24,奶白菜,3.06,5.0,5.786,15.68
27240,2022-03-24,姜蒜小米椒组合装(小份),2.3,4.9,2.0,9.43
27241,2022-03-24,小皱皮(份),3.86,5.900000000000001,3.0,9.43
27242,2022-03-24,小米椒(份),9.72,14.800000000000002,6.0,9.43
27243,2022-03-24,小青菜(1),2.63,4.0,7.957,10.33
27249,2022-03-24,白玉菇(袋),2.2,4.9,4.0,6.57
27250,2022-03-24,竹叶菜,8.46,14.0,1.024,13.62
27252,2022-03-24,紫茄子(2),7.85,12.0,12.668,6.07
27257,2022-03-24,红薯尖,7.439999999999999,12.0,4.198,8.42
27258,2022-03-24,芜湖青椒(1),10.41,14.0,14.373,5.7
27259,2022-03-24,苋菜,6.62,10.0,4.609,18.52
27261,2022-03-24,菠菜,3.26,6.0,3.02,18.51
27262,2022-03-24,菠菜(份),0.98,2.5,6.0,9.43
27265,2022-03-24,螺丝椒,20.16,31.6,7.021,10.18
27267,2022-03-24,西兰花,7.22,12.0,7.711,9.26
27268,2022-03-24,西峡花菇(1),12.0,19.8,6.818,10.8
27271,2022-03-24,长线茄,13.92,19.8,2.0,6.900000000000001
27275,2022-03-24,青茄子(1),9.53,14.0,0.444,5.01
27280,2022-03-25,上海青,3.3,6.0,7.451,14.43
27283,2022-03-25,云南油麦菜,3.2099999999999995,6.0,1.645,12.81
27284,2022-03-25,云南油麦菜(份),1.46,2.9,18.0,9.43
27285,2022-03-25,云南生菜,4.4,8.0,0.314,15.25
27286,2022-03-25,云南生菜(份),2.12,3.9,25.0,9.43
27287,2022-03-25,净藕(1),5.0,8.0,30.63,5.54
27289,2022-03-25,外地茼蒿,8.42,14.0,0.544,26.16
27290,2022-03-25,奶白菜,3.13,5.0,4.537,15.68
27291,2022-03-25,姜蒜小米椒组合装(小份),2.29,4.9,2.0,9.43
27294,2022-03-25,小皱皮(份),3.86,5.9,7.0,9.429999999999998
27295,2022-03-25,小米椒(份),9.32,14.800000000000002,12.0,9.43
27296,2022-03-25,小青菜(1),3.02,5.0,5.545,10.33
27303,2022-03-25,白玉菇(袋),2.91,4.9,3.0,6.57
27304,2022-03-25,竹叶菜,8.48,14.0,2.837,13.62
27305,2022-03-25,紫茄子(2),8.18,12.0,10.848,6.07
27311,2022-03-25,红薯尖,6.19,10.0,2.813,8.42
27312,2022-03-25,芜湖青椒(1),10.52,14.0,20.357,5.7
27313,2022-03-25,苋菜,7.39,12.0,5.894,18.52
27315,2022-03-25,菠菜,3.25,6.0,2.047,18.51
27316,2022-03-25,菠菜(份),0.93,2.5,6.0,9.43
27319,2022-03-25,螺丝椒,21.44,29.6,9.386,10.18
27321,2022-03-25,西兰花,7.36,12.0,13.882,9.26
27322,2022-03-25,西峡花菇(1),12.0,21.6,5.974,10.8
27325,2022-03-25,长线茄,13.919999999999998,19.8,4.288,6.9
27329,2022-03-25,青茄子(1),9.05,14.0,1.992,5.01
27332,2022-03-25,高瓜(2),7.66,16.0,1.353,9.43
27335,2022-03-26,上海青,3.3,6.0,4.6,14.43
27338,2022-03-26,云南油麦菜,3.2,6.0,8.509,12.81
27339,2022-03-26,云南生菜,4.64,8.0,17.137,15.25
27340,2022-03-26,云南生菜(份),2.12,3.9,1.0,9.43
27341,2022-03-26,净藕(1),5.0,8.0,33.381,5.54
27343,2022-03-26,外地茼蒿,8.46,16.0,3.007,26.160000000000004
27344,2022-03-26,奶白菜,3.27,6.0,16.008,15.68
27345,2022-03-26,姜蒜小米椒组合装(小份),2.33,4.9,4.0,9.43
27348,2022-03-26,小皱皮(份),3.87,5.900000000000001,6.0,9.43
27349,2022-03-26,小米椒(份),10.43,14.8,11.0,9.43
27350,2022-03-26,小青菜(1),3.19,5.0,10.686,10.33
27356,2022-03-26,竹叶菜,8.53,14.0,1.935,13.62
27358,2022-03-26,紫茄子(2),8.18,12.0,20.892,6.069999999999999
27363,2022-03-26,红薯尖,6.13,10.0,5.3950000000000005,8.42
27364,2022-03-26,芜湖青椒(1),11.21,14.0,32.046,5.7
27365,2022-03-26,苋菜,8.1,12.0,16.997,18.52
27367,2022-03-26,菠菜,3.11,6.0,1.828,18.51
27368,2022-03-26,菠菜(份),1.0,2.5,10.0,9.43
27371,2022-03-26,螺丝椒,22.32,29.6,13.275,10.18
27372,2022-03-26,西兰花,7.4,10.0,16.707,9.26
27373,2022-03-26,西峡花菇(1),12.0,21.6,18.283,10.8
27376,2022-03-26,长线茄,13.74,19.8,2.394,6.9
27380,2022-03-26,高瓜(2),7.66,16.0,0.489,9.43
27383,2022-03-27,七彩椒(2),12.87,23.6,0.551,9.43
27384,2022-03-27,上海青,3.3,7.0,2.169,14.43
